Id,User,Created,Tweet,Description,Location
1338453515946090496,micaiahswifebot,2020-12-14 11:59:20,i dont like (x) but this song slaps,"a bot run by @micaiahswife that gives you all the content marie normally posts, except by a computer!",
1338453515946037253,CrosscreekFarm,2020-12-14 11:59:20,@HouseGOP Your party is guilty of sedition and subversion in normalizing and propping up Trumps lies. Be a PATRIOT - stop the madness.,"Veteran, democrat, farmer",USA
1338453515941912576,ConnieLineberr2,2020-12-14 11:59:20,@ebody72 Good morning my love!☕♥️🌹  Thank you so much for my very on pink Challenger!!🤗🤗 Of course I'm in love with that one!!!♥️♥️♥️,CHASE ELLIOTT 🏁 CAR CRAZY*MUSIC ADDICT*UNC TARHEEL*MOPAR LOVER*PART NUT*FRIEND TO ALL UNLESS YOU PISS ME OFF🏁🎵👣🚘😨 ABSOLUTELY NO PORN!!! TRUMP 2020🇺🇲🇺🇲,
1338453515941777413,sudkrub,2020-12-14 11:59:20,"RT @ThaiEnquirer: The aunties leading the protest are making a local southern dish and handing it out to people who are interested. 

The p…",มึงรู้ว่ากูคือใคร,
1338453515937701888,Teach_Laidlaw,2020-12-14 11:59:20,@daleethompson All the Con MPPs have been doing this for awhile now. It's embarrassing.,"👫 Wife
👩‍🏫 Elementary Teacher
🌎 World Traveller
🤝 Social Justice Advocate
🏳️‍🌈 she/her","Ontario, Canada"
1338453515933462537,AssistantNews,2020-12-14 11:59:20,"Another @AssistantNews EU watchdog warns of using #AI in predictive policing, medical diagnoses, and targeted adver… https://t.co/9y7WmLzylR","Curated news about digital assistant, Artificial intelligence and smart assistants. Product news & reviews from all around the web.","San Francisco, CA"
1338453515929346050,JordanPowers95,2020-12-14 11:59:20,"RT @gayblackvet: I would like to speak to the animator, please https://t.co/QcQbaqzqRb","Yes, hello. I am Jordan Powers born in ‘95. Cartoonist and character designer. Video editor. Hobbyist. 25 years old. He/Him or They/Them. ✊🏾🌈 🔞(sfw tho)","Columbus, New Jersey, USA"
1338453515929178112,sushwasmurdered,2020-12-14 11:59:20,"Roses are red
Violates are blue
Let's fight for justice 
Me and you.
#Oath4SSR 
Tweet-140","HERE FOR SSR!🙏🏻💫✊🏻🔥
Justice For Sushant !...
 Backup: @shadesofsushant",
1338453515925135361,berenicehgs,2020-12-14 11:59:20,RT @lil4nge111: biggest fear https://t.co/yT6K7DELkW,Hein,"Yvelines, Ile-de-France"
1338453515912564737,broddahshaggi,2020-12-14 11:59:20,RT @avamcharts: 📻 | “Kings &amp; Queens” by @AvaMax is #1 at Hot Adult Contemporary Radio for a 2nd week. https://t.co/hJ2AWPgsd5,"Comedian,, skit maker,, entertainer",
1338453515904065540,princessrys,2020-12-14 11:59:20,@itsnimoelaron I love you too!!! ❤,ust pharma,neverland
1338453515891445760,aalsichinu,2020-12-14 11:59:20,"RT @Aukat_ke_bahar: There are Only two Symbols of Love left:-

1-Taj Mahal
2- OYO",if there is one thing I could change in the universe then it's me... aap sab safe ho 😀😀,
1338453515887202304,minshmallows,2020-12-14 11:59:20,cant stream properly:(,she/they,
1338453515883085830,AyushiJ90923935,2020-12-14 11:59:20,"RT @AeshaSaxena: These two love grabbing each other's face! Such cuties they are! ❤️❤️

@AlyGoni @jasminbhasin
#JasminBhasin #AlyGoni #JasL…",,
1338453515870486529,900__na,2020-12-14 11:59:20,@FLike_99 my sweety wagi1004,냥만페리에,I 밤새님 H 닝깊님
1338453515849539587,PodcastZona,2020-12-14 11:59:20,"@DavidMTodd Ugh...how’s Lamar Jackson, Deshun Watson and Dak Prescott doing? Was Josh Allen running the option? Ple… https://t.co/ShF0jNxAkq",Covering Arizona Sports,Wildcat Country
1338453515845373952,Fahima__10,2020-12-14 11:59:20,"RT @waqtzaya: Wherever this man goes, he gets mobbed. Biggest of all, in a country that hardly knows Hindi as a language, knows him so very…","_Muslim_
_Bangladeshi_
_FanGirl_",
